,Year,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring
0,2011,1643.866253383465,3177.585377819545,3530.0794879699242,403.76314022556835,65.16140037593959
1,2012,1643.6736910661784,3177.366938221792,3529.605400320317,403.67621979774776,65.15046599624065
2,2013,1643.4651861936945,3177.130413645704,3529.09206216404,403.5821030828447,65.1386263410227
3,2014,1643.2407547567345,3176.8758222308243,3528.539512870135,403.48079729887104,65.12588231829432
4,2015,1643.0004127339635,3176.6031821031356,3527.947791778075,403.372309658429,65.11223483538288
5,2016,1642.744176092092,3176.312511375014,3527.316938197793,403.2566473686966,65.097684798935
6,2017,1642.472060785818,3176.0038281452,3526.6469914097106,403.1338176314457,65.08223311491611
7,2018,1642.1840827578708,3175.6771504988574,3525.9379906647373,403.0038276430423,65.06588068861129
8,2019,1641.8802579389958,3175.3324965076026,3525.1899751843303,402.86668459444263,65.04862842462535
9,2020,1641.5606022479697,3174.9698842294456,3524.4029841604643,402.72239567120414,65.03047722688507
10,2021,1641.2251315916365,3174.589331708805,3523.57705675569,402.5709680534892,65.01142799863555
11,2022,1640.8738618648713,3174.190856976609,3522.7122321031347,402.41240891606503,64.99148164244662
12,2023,1640.5068089506094,3173.774478050196,3521.80854930653,402.24672542830376,64.97063906020776
13,2024,1640.1239887198535,3173.34021293337,3520.8660474402423,402.07392475420056,64.94890115313228
14,2025,1639.7254170316883,3172.8880796164303,3519.8847655492427,401.89401405236276,64.926268821755
15,2026,1639.311109733273,3172.418096076144,3518.864742649166,401.70700047601713,64.90274296593498
16,2027,1638.8810826598638,3171.9302802757447,3517.806017726398,401.51289117300985,64.8783244848546
17,2028,1638.4353516348128,3171.4246501650196,3516.7086297379283,401.311693285832,64.85301427702097
18,2029,1637.9739324695765,3170.9012236802228,3515.5726176114986,401.10341395158684,64.82681324026498
19,2030,1637.4968409637295,3170.3600187441334,3514.3980202455714,400.88806030201886,64.79972227174312
20,2031,1637.0040929049574,3169.801053266041,3513.1848765094473,400.6656394635211,64.7717422679375
21,2032,1636.4957040691006,3169.224345141818,3511.9332252431195,400.43615855711687,64.74287412465628
22,2033,1635.9716902201108,3168.6299122538476,3510.64310525739,400.1996246984818,64.71311873703462
23,2034,1635.4320671101013,3168.017772471052,3509.3145553339273,399.95604499793626,64.68247699953281
24,2035,1634.876850479348,3167.387943648937,3507.9476142251515,399.70542656045654,64.65094980593949
25,2036,1634.3060560562662,3166.7404436295765,3506.5423206544365,399.4477764856747,64.61853804937209
26,2037,1633.7196995574486,3166.075290241657,3505.098713315936,399.1831018678786,64.58524262227456
27,2038,1633.1177966876858,3165.39250130039,3503.6168308747583,398.9114097960264,64.55106441642147
28,2039,1632.5003631399304,3164.692094607628,3502.0967119669076,398.63270735374317,64.51600432291389
29,2040,1631.8674145953264,3163.9740879518067,3500.5383951993426,398.3470016193205,64.48006323218533
30,2041,1631.2189667232378,3163.238499108018,3498.941919149889,398.0542996657241,64.4432420339972
31,2042,1630.5550351812271,3162.485345837922,3497.307322367473,397.75460856060454,64.40554161744285
32,2043,1629.875635615077,3161.714645889864,3495.6346433719445,397.44793536628276,64.36696287094583
33,2044,1629.1807836587977,3160.9264169987873,3493.9239206541097,397.13428713977555,64.32750668226072
34,2045,1628.4704949346196,3160.120676886334,3492.1751926759316,396.81367093278095,64.28717393847455
35,2046,1627.744785053037,3159.297443260759,3490.388497870299,396.48609379169284,64.24596552600678
36,2047,1627.0036696127718,3158.456733817031,3488.5638746412296,396.1515627575973,64.2038823306093
37,2048,1626.2471642008095,3157.598566236775,3486.701361363812,395.81008486628707,64.16092523736688
38,2049,1625.4752843923998,3156.7229581883003,3484.8009963842924,395.4616671482472,64.11709513069854
39,2050,1624.6880457510706,3155.829927326602,3482.8628180199594,395.1063166286731,64.0723928943562
40,2051,1623.8854638286211,3154.919491293418,3480.8868645593175,394.74404032747407,64.02681941142782
41,2052,1623.0675541651435,3153.991667717157,3478.873174261971,394.3748452592663,63.98037556433519
42,2053,1622.2343322890229,3153.046474212999,3476.8217853587703,393.9987384333872,63.93306223483614
43,2054,1621.3858137169445,3152.08392838281,3474.732736051752,393.61572685389547,63.88488030402323
44,2055,1620.522013953916,3151.104047815199,3472.6060645141697,393.2258175195675,63.83583065232733
45,2056,1619.6429484932596,3150.1068500855763,3470.441808890493,392.8290174239155,63.785914159513595
46,2057,1618.7486328166196,3149.0923527560517,3468.2400072964956,392.42533355516935,63.73513170468641
47,2058,1617.8390823939844,3148.0605733755365,3466.000697819225,392.01477289631293,63.68348416628669
48,2059,1616.9143126836716,3147.011529479685,3463.7239185169456,391.59734242505147,63.63097242209369
49,2060,1615.9743391323573,3145.945238590968,3461.4097074193996,391.17304911384053,63.577597349225016
50,2061,1615.019177175076,3144.8617182186426,3459.058102527517,390.7418999298752,63.52335982413706
51,2062,1614.0488422352282,3143.7609858587675,3456.669141813676,390.30390183509735,63.46826072262638
52,2063,1613.0633497245872,3142.643058994203,3454.242863221589,389.8590617862137,63.412300919827885
53,2064,1612.0627150432992,3141.5079550946393,3451.7793046663573,389.4073867346742,63.35548129021845
54,2065,1611.0469535799275,3140.355691616598,3449.2785040345334,388.9488836266937,63.29780270761421
55,2066,1610.0160807113934,3139.1862860034307,3446.7404991840885,388.4835594032411,63.239266045173736
56,2067,1608.9701118030498,3137.9997556853195,3444.1653279444436,388.01142100006473,63.17987217539576
57,2068,1607.9090622086514,3136.7961180793645,3441.5530281164683,387.5324753476707,63.11962197012235
58,2069,1606.8329472703845,3135.5753905894526,3438.90363747254,387.04672937134455,63.05851630053712
59,2070,1605.7417823188516,3134.3375906063884,3436.2171937565727,386.5541899911441,62.99655603716701
60,2071,1604.6355826730942,3133.082735507822,3433.493734683987,386.05486412191385,62.93374204988231
61,2072,1603.514363640592,3131.810842658364,3430.7332979417115,385.5487586732779,62.87007520789757
62,2073,1602.3781405172922,3130.5219294094422,3427.9359211882984,385.0358805496435,62.80555637976977
63,2074,1601.226928587581,3129.2160130994453,3425.1016420538945,384.5162366502118,62.74018643340287
64,2075,1600.060743124326,3127.893111053665,3422.230498140212,383.9898338689818,62.67396623604418
65,2076,1598.8795993888634,3126.553240584297,3419.3225270206167,383.4566790947465,62.606896654287084
66,2077,1597.6835126310107,3125.196418990512,3416.377766240039,382.9167792110966,62.538978554071946
67,2078,1596.4724980890678,3123.822663558385,3413.396253315208,382.37014109643496,62.47021280068384
68,2079,1595.2465709898606,3122.4319915609813,3410.3780257343897,381.81677162395863,62.40060025875573
69,2080,1594.0057465486825,3121.0244202582835,3407.323120957677,381.25667766169136,62.33014179226711
70,2081,1592.75003996936,3119.5999668972654,3404.231576416787,380.6898660724655,62.258838264546284
71,2082,1591.4794664442452,3118.1586487119057,3401.103429515264,380.1163437139294,62.18669053826852
72,2083,1590.1940411542091,3116.700482923101,3397.938717628276,379.53611743855436,62.113699475458816
73,2084,1588.8937792686484,3115.2254867388256,3394.7374781029066,378.9491940936423,62.039865937490504
74,2085,1587.5786959455363,3113.7336773539864,3391.49974825792,378.35558052131455,61.96519078508618
75,2086,1586.2488063313504,3112.2250719505537,3388.2255653839675,377.75528355853385,61.889674878319056
76,2087,1584.9041255611664,3110.6996876974736,3384.9149667435267,377.1483100370897,61.813319076612515
77,2088,1583.5446687586082,3109.15754175077,3381.5679895709036,376.53466678361656,61.73612423873965
78,2089,1582.1704510358832,3107.5986512534873,3378.1846710722893,375.9143606195903,61.65809122282599
79,2090,1580.7814874937758,3106.023033335674,3374.765048425732,375.2873983613317,61.579220886348594
80,2091,1579.3777932216617,3104.430705114515,3371.309158781194,374.6537868200103,61.499514086135605
81,2092,1577.9593832975006,3102.8216836942156,3367.8170392606116,374.01353280165495,61.41897167836942
82,2093,1576.5262727878799,3101.195986166029,3364.288726957835,373.36664310713604,61.337594518583046
83,2094,1575.0784767479854,3099.5536296083446,3360.7242589386587,372.71312453220526,61.25538346166513
84,2095,1573.6160102216163,3097.8946310866013,3357.1236722408794,372.05298386745926,61.1723393618563
85,2096,1572.1388882412211,3096.219007653359,3353.4870038743247,371.3862278983652,61.08846307275235
86,2097,1570.6471258278543,3094.52677634827,3349.8142908207665,370.7128634052642,61.00375544730423
87,2098,1569.140737991249,3092.817954198108,3346.1055700340657,370.0328971633717,60.91821733781626
88,2099,1567.6197397297583,3091.0925582167984,3342.360878440144,369.3463359427733,60.831849595950644
89,2100,1566.0841460304,3089.350605405358,3338.580252936983,368.65318650844347,60.744653072723395
90,2101,1564.5339718688701,3087.5921127519687,3334.763730394683,367.9534556202343,60.656628618507966
91,2102,1562.9692322095289,3085.8170972319786,3330.911347655434,367.24715003288657,60.5677770830348
92,2103,1561.389942005415,3084.0255758078565,3327.023141533544,366.53427649603327,60.47809931539132
93,2104,1559.7961161982457,3082.2175654292514,3323.0991488154978,365.81484175420337,60.38759616402194
94,2105,1558.1877697184682,3080.3930830330355,3319.1394062599284,365.08885254681445,60.2962684767308
95,2106,1556.5649174852006,3078.5521455432026,3315.143950597703,364.3563156081909,60.20411710067856
96,2107,1554.927574406276,3076.69476987097,3311.1128185318667,363.6172376675677,60.11114288238696
97,2108,1553.2757553782722,3074.820972914764,3307.046046737669,362.8716254490755,60.01734666773473
98,2109,1551.609475286452,3072.93077156019,3302.943671862595,362.1194856717593,59.922729301963045
99,2110,1549.9287490048446,3071.024182680121,3298.805730526481,361.36082504958904,59.827291629671436
100,2111,1548.233591396216,3069.101223134625,3294.632259321341,360.5956502914378,59.73103449482096
101,2112,1546.5240173120692,3067.1619097709918,3290.4232948115387,359.82396810111095,59.63395874073376
102,2113,1544.8000415926654,3065.206259423823,3286.1788735337323,359.04578517732807,59.5360652100926
103,2114,1543.0616790670392,3063.234288914915,3281.89903199696,358.2611082137555,59.43735474494406
104,2115,1541.308944552984,3061.246015053315,3277.583806682582,357.46994389896645,59.33782818669533
105,2116,1539.541852857088,3059.2414546353975,3273.233234044281,356.6722989164882,59.23748637611743
106,2117,1537.760418774713,3057.220624444788,3268.8473505082657,355.86817994477315,59.136330153343806
107,2118,1535.964657090015,3055.183541252365,3264.426192473038,355.0575936572277,59.034360357873084
108,2119,1534.1545825759604,3053.1302218163764,3259.969796309597,354.2405467221979,58.93157782856588
109,2120,1532.3302099943176,3051.060682882322,3255.478198361292,353.417045802973,58.82798340364934
110,2121,1530.4915540956645,3048.974941183027,3250.951434944087,352.58709755780365,58.72357792071398
111,2122,1528.6386296194178,3046.873013438657,3246.3895423462964,351.75070863988367,58.61836221671729
112,2123,1526.7714512938255,3044.754916356658,3241.792556828819,350.9078856973829,58.51233712798057
113,2124,1524.89003383596,3042.620666631876,3237.160514624993,350.0586353734143,58.405503490193496
114,2125,1522.994391951739,3040.4702809464798,3232.493451940827,349.2029643060705,58.29786213841135
115,2126,1521.0845403359635,3038.30377596998,3227.791404954798,348.3408791284055,58.189413907055496
116,2127,1519.1604936722651,3036.12116835927,3223.054409817938,347.47238646844926,58.080159629917034
117,2128,1517.2222666331509,3033.922474758612,3218.2825026539213,346.597492949204,57.97010014015359
118,2129,1515.2698738800173,3031.7077117996378,3213.4757195590355,345.71620518865166,57.85923627029115
119,2130,1513.3033300631287,3029.4768961013906,3208.6340966021817,344.82852979975723,57.74756885222405
120,2131,1511.3226498216463,3027.230044270298,3203.7576698249322,343.93447339046907,57.635098717217716
121,2132,1509.3278477836357,3024.9671729002002,3198.846475241502,343.03404256373324,57.521826695904565
122,2133,1507.318938566059,3022.6882985723496,3193.9005488387775,342.1272439174718,57.40775361828992
123,2134,1505.2959367747899,3020.3934378554113,3188.9199265764037,341.21408404461545,57.292880313747446
124,2135,1503.25885700465,3018.0826073054923,3183.9046443867264,340.29456953309636,57.17720761102191
125,2136,1501.207713839358,3015.7558234661556,3178.8547381748504,339.3687069658372,57.06073633823007
126,2137,1499.1425218515724,3013.4131028683914,3173.7702438185515,338.4365029207729,56.943467322860215
127,2138,1497.0632956029076,3011.0544620306464,3168.6511971685104,337.4979639708472,56.825401391773084
128,2139,1494.9700496439254,3008.679917458867,3163.497634048108,336.5530966840124,56.706539371201416
129,2140,1492.8627985141356,3006.289485646412,3158.3095902536006,335.6019076232478,56.58688208675085
130,2141,1490.7415567420176,3003.883183074169,3153.0871015540615,334.64440334654137,56.46643036340129
131,2142,1488.606338845042,3001.4610262105125,3147.830203691352,333.68059040690423,56.34518502550509
132,2143,1486.4571593296278,2999.0230315113004,3142.5389323802956,332.7104753523745,56.223146896790695
133,2144,1484.2940326912067,2996.5692154199205,3137.2133233085624,331.73406472602437,56.100316800359906
134,2145,1482.1169734141877,2994.0995943672606,3131.8534121367557,330.751365065953,55.9766955586897
135,2146,1479.9259959720075,2991.614184771737,3126.459234498325,329.7623829053009,55.85228399363314
136,2147,1477.7211148270799,2989.113003039296,3121.030825999769,328.76712477223555,55.727082926418916
137,2148,1475.5023444308536,2986.5960655634262,3115.568222220463,327.7655971899767,55.601093177652274
138,2149,1473.2696992238125,2984.063388725146,3110.071458712773,326.7578066767892,55.474315567314534
139,2150,1471.023193635454,2981.51498889309,3104.540571002115,325.74375974599025,55.346750914764925
140,2151,1468.7628420843175,2978.9508824233926,3098.9755945868674,324.7234629059385,55.21840003874058
141,2152,1466.4886589779926,2976.3710856598045,3093.3765649384586,323.69692266005586,55.089263757355184
142,2153,1464.2006587131254,2973.7756149336346,3087.743517501367,322.6641455068275,54.95934288810213
143,2154,1461.8988556754193,2971.164486563808,3082.0764876931207,321.62513793978724,54.82863824785363
144,2155,1459.5832642396417,2968.537716856823,3076.375510904385,320.5799064475541,54.69715065286118
145,2156,1457.2538987696462,2965.8953221068223,3070.640622498875,319.52845751379573,54.564880918754625
146,2157,1454.910773618365,2963.2373185955075,3064.871857813443,318.4707976172649,54.43182986054626
147,2158,1452.553903127824,2960.563722592269,3059.0692521581077,317.40693323178857,54.297998292626744
148,2159,1450.183301629142,2957.874550354085,3053.232840816054,316.33687082626784,54.16338702876919
149,2160,1447.7989834425389,2955.1698181255924,3047.362659043545,315.2606168646889,54.027996882126445
150,2161,1445.4009628773565,2952.4495421390748,3041.4587420701864,314.17817780612313,53.89182866523515
151,2162,1442.9892542320522,2949.713738614475,3035.5211250986904,313.08956010473776,53.754883190012606
152,2163,1440.5638717942202,2946.962423759396,3029.5498433050525,311.9947702097743,53.617161267759
153,2164,1438.1248298405626,2944.195613769116,3023.5449318384926,310.89381456559204,53.4786637091579
154,2165,1435.672142636955,2941.4133248266153,3017.5064258215134,309.78669961162814,53.33939132427622
155,2166,1433.2058244384025,2938.6155731025356,3011.434360349842,308.67343178243755,53.19934492256516
156,2167,1430.7258894890765,2935.8023747552215,3005.3287704926333,307.55401750767123,53.05852531285882
157,2168,1428.2323520223072,2932.9737459307507,2999.1896912922384,306.4284632120907,52.91693330337739
158,2169,1425.7252262605834,2930.12970276289,2993.017157764436,305.2967753155717,52.774569701724886
159,2170,1423.204526415604,2927.270261373138,2986.8112048982875,304.1589602331078,52.63143531489186
160,2171,1420.670266688212,2924.3954378707567,2980.571867656283,303.0150243747994,52.487530949254506
161,2172,1418.1224612684891,2921.5052483526815,2974.2991809742816,301.864974145883,52.34285741057511
162,2173,1415.5611243356689,2918.5997089036537,2967.993179761572,300.70881594670936,52.19741550400249
163,2174,1412.9862700582307,2915.678835596147,2961.6538989008404,299.54655617275785,52.0512060340734
164,2175,1410.3979125938495,2912.742644490412,2955.2813732482027,298.3782012146512,51.904229804711576
165,2176,1407.7960660894314,2909.791151634432,2948.8756376333477,297.20375745813726,51.756487619228665
166,2177,1405.1807446810853,2906.824373064039,2942.436726859334,296.02323128409625,51.60798028032468
167,2178,1402.5519624942026,2903.842324802812,2935.9646757027367,294.8366290685626,51.45870859008937
168,2179,1399.909733643377,2900.8450228621514,2929.4595189136744,293.6439571827068,51.308673349999935
169,2180,1397.2540722324702,2897.832483241218,2922.921291215782,292.4452219928535,51.15787536092466
170,2181,1394.5849923546048,2894.8047219270375,2916.3500273062964,291.240429860467,51.00631542312112
171,2182,1391.9025080921565,2891.7617548944254,2909.745761855971,290.0295871421804,50.85399433623752
172,2183,1389.2066335167838,2888.7035981060617,2903.1085295091325,288.8127001897701,50.70091289931361
173,2184,1386.4973826894202,2885.6302675124316,2896.4383648837393,287.5897753501922,50.54707191077887
174,2185,1383.774769660282,2882.541779051884,2889.73530257144,286.36081896554606,50.39247216845524
175,2186,1381.0388084688893,2879.4381486506027,2882.9993771373993,285.1258373731107,50.23711446955758
176,2187,1378.28951314406,2876.319392222649,2876.2306231205584,283.8848369053376,50.08099961069138
177,2188,1375.5268977039086,2873.185525669993,2869.429075033433,282.63782388983964,49.92412838785731
178,2189,1372.7509761558758,2870.0365648824227,2862.594767362316,281.3848046494204,49.76650159644714
179,2190,1369.9617624967286,2866.872525737621,2855.727734567161,280.1257855020558,49.608120031246926
180,2191,1367.15927071256,2863.693424101235,2848.8280110816704,278.86077276090873,49.448984486437894
181,2192,1364.3435147787968,2860.499275826718,2841.895631313295,277.5897727343254,49.289095755594644
182,2193,1361.514508660206,2857.2900967555033,2834.9306296432624,276.3127917258498,49.12845463168742
183,2194,1358.6722663109103,2854.0659027169313,2827.9330404265493,275.0298360342058,48.96706190708164
184,2195,1355.816801674402,2850.82670952825,2820.9028979919676,273.74091195332585,48.804918373537475
185,2196,1352.9481286835216,2847.572532994658,2813.840236642107,272.446025772344,48.64202482221299
186,2197,1350.0662612604938,2844.3033889093203,2806.7450906534505,271.14518377558124,48.47838204366053
187,2198,1347.1712133169203,2841.019293053323,2799.617494276288,269.8383922425819,48.313990827832185
188,2199,1344.2629987537803,2837.720261195718,2792.457481734775,268.52565744808817,48.14885196407522
189,2200,1341.341631461466,2834.4063090935088,2785.265087226988,267.20698566206556,47.98296624113527
190,2201,1338.4071253197471,2831.077452491736,2778.040344924928,265.8823831496811,47.81633444715635
